Model	Layer	Mean_Train_Acc	Std_Train_Acc	Mean_Val_Acc	Std_Val_Acc
data2vec	full	0.900602694	0.107322294	0.661398494	0.065442379
data2vec	0	0.846198469	0.13592351	0.670251625	0.046730317
data2vec	1	0.826546406	0.147845708	0.6473215	0.05523124
data2vec	2	0.831636594	0.150348042	0.642451344	0.04685215
data2vec	9	0.773872469	0.174477882	0.62317375	0.055700404
data2vec	4	0.8146585	0.161214457	0.635552031	0.044831833
data2vec	7	0.819652094	0.153277928	0.621753344	0.036210636
data2vec	10	0.768943219	0.172759443	0.62601475	0.033186757
data2vec	8	0.800064469	0.158749685	0.616477438	0.038643286
data2vec	3	0.822551531	0.155636907	0.605722563	0.040319639
data2vec	6	0.815045094	0.167512266	0.605925469	0.041985185
data2vec	5	0.814368531	0.162389154	0.611607281	0.040854084
data2vec	11	0.755476844	0.181392857	0.592735563	0.030378318
data2vec	12	0.73389175	0.193127358	0.582995187	0.039746773
decoar2	4	0.839143063	0.143366882	0.658482156	0.050698694
decoar2	11	0.863563156	0.147098591	0.643668938	0.054497247
decoar2	3	0.837081219	0.145278002	0.656047125	0.054215452
decoar2	full	0.8932345	0.102519196	0.669034188	0.022763628
decoar2	5	0.83650125	0.147912177	0.660308531	0.050848132
decoar2	1	0.836018031	0.145305008	0.639610406	0.042017949
decoar2	6	0.837725531	0.14831516	0.630681906	0.042524819
decoar2	7	0.845103031	0.146622509	0.634334594	0.042450808
decoar2	9	0.850966563	0.146514346	0.639001719	0.041393737
decoar2	2	0.839690688	0.144789307	0.630073156	0.041381455
decoar2	12	0.8389175	0.149545191	0.612621906	0.052042493
decoar2	10	0.848614625	0.155163542	0.622159313	0.042642612
decoar2	0	0.810889187	0.173249018	0.616680437	0.041447154
decoar2	8	0.847164969	0.144918749	0.616883281	0.038220766
hubert	full	0.897164906	0.103838437	0.700689969	0.044267845
hubert	3	0.831765406	0.138282855	0.684050344	0.070837941
hubert	0	0.846681688	0.147805129	0.657467688	0.075816409
hubert	2	0.829800313	0.13518392	0.674107219	0.057501436
hubert	1	0.840335063	0.124935085	0.659090938	0.042372655
hubert	11	0.816237125	0.156564147	0.649553594	0.050581205
hubert	4	0.817461406	0.142175005	0.654423781	0.065534199
hubert	5	0.792268094	0.140034316	0.655438469	0.052571041
hubert	7	0.782248656	0.159906882	0.648336063	0.05983555
hubert	6	0.7956185	0.141475653	0.657264688	0.052332523
hubert	9	0.812016688	0.139162536	0.661120187	0.040077357
hubert	8	0.8024485	0.142032604	0.650162375	0.044002429
hubert	10	0.812725531	0.152239568	0.646103969	0.046504599
hubert	12	0.826192	0.151264721	0.647321563	0.046692642
wav2vec_large	1	0.811565656	0.141922247	0.643466	0.052088193
wav2vec_large	6	0.771005125	0.169310054	0.635551969	0.083333198
wav2vec_large	2	0.808344063	0.141947229	0.644074656	0.048183688
wav2vec_large	4	0.794168781	0.148727192	0.646712719	0.057912246
wav2vec_large	5	0.781378875	0.159774619	0.638798781	0.066971706
wav2vec_large	full	0.8101805	0.130899134	0.651380031	0.040213048
wav2vec_large	3	0.805251281	0.146262707	0.648539094	0.062343545
wav2vec_large	10	0.750418719	0.190595799	0.598823031	0.106440637
wav2vec_large	11	0.746005188	0.195203495	0.604910875	0.067120925
wav2vec_large	9	0.769716438	0.179273034	0.602881594	0.088114783
wav2vec_large	8	0.748453594	0.182411814	0.590706188	0.100535973
wav2vec_large	7	0.755509	0.175111763	0.6160715	0.082133073
wav2vec_large	12	0.771746156	0.163826596	0.614853906	0.045182562
wavlm_large	12	0.826191938	0.137475296	0.667816625	0.044779592
wavlm_large	5	0.85412375	0.147338971	0.680803656	0.072947535
wavlm_large	4	0.863337625	0.148095018	0.672483844	0.0682628
wavlm_large	10	0.829897	0.117505284	0.684659188	0.045467535
wavlm_large	6	0.851804094	0.138889046	0.67755675	0.059115274
wavlm_large	7	0.843105656	0.135882404	0.678977406	0.057584291
wavlm_large	3	0.873775812	0.140322509	0.678977344	0.060261966
wavlm_large	2	0.896520656	0.11963373	0.669440063	0.033370657
wavlm_large	0	0.900934344	0.116635969	0.670860438	0.030743441
wavlm_large	8	0.8420425	0.129966281	0.67410725	0.055552695
wavlm_large	11	0.820457531	0.16386928	0.662743563	0.068857934
wavlm_large	1	0.903028438	0.120389049	0.671063313	0.031015266
wavlm_large	full	0.841913688	0.114094633	0.664772813	0.03943812
wavlm_large	9	0.820747469	0.13176025	0.661323188	0.046944527
